game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
824779 MIL@BOS,2026-04-08T17:56:56.916Z,2,bot,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081335MILBOS-BOS2,0.38,0.3648,-0.0253,0.0152,651,247.55,0.0152,True,9.9
824779 MIL@BOS,2026-04-08T17:58:01.310Z,2,bot,K,Strikeout,moneyline,ML BOS,KXMLBGAME-26APR081335MILBOS-BOS,0.62,0.6081,-0.0198,0.0119,421,261.21,0.0119,True,5.01
824779 MIL@BOS,2026-04-08T17:58:01.310Z,2,bot,K,Strikeout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081335MILBOS-BOS2,0.39,0.3791,-0.0181,0.0109,612,238.79,0.0109,True,6.67
824779 MIL@BOS,2026-04-08T18:04:32.400Z,3,top,OUT,Lineout,moneyline,ML BOS,KXMLBGAME-26APR081335MILBOS-BOS,0.55,0.5628,0.0213,0.0128,472,259.76,0.0128,True,6.04
824779 MIL@BOS,2026-04-08T18:04:32.400Z,3,top,OUT,Lineout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081335MILBOS-BOS2,0.32,0.3318,0.0197,0.0118,750,240.24,0.0,False,0.0
824779 MIL@BOS,2026-04-08T18:08:46.286Z,3,top,1B,Single,moneyline,ML BOS,KXMLBGAME-26APR081335MILBOS-BOS,0.58,0.5591,-0.0348,0.0209,496,288.08,0.0209,True,10.37
824779 MIL@BOS,2026-04-08T18:08:46.286Z,3,top,1B,Single,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081335MILBOS-BOS2,0.36,0.3446,-0.0256,0.0154,588,211.92,0.0154,True,9.06
824779 MIL@BOS,2026-04-08T18:11:11.510Z,3,top,K,Strikeout,moneyline,ML BOS,KXMLBGAME-26APR081335MILBOS-BOS,0.55,0.5663,0.0272,0.0163,524,288.75,0.0163,True,8.54
824779 MIL@BOS,2026-04-08T18:11:11.510Z,3,top,K,Strikeout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR081335MILBOS-BOS2,0.33,0.3419,0.0199,0.0119,640,211.25,0.0119,True,7.62
824779 MIL@BOS,2026-04-08T18:14:29.242Z,3,bot,1B,Single,moneyline,ML BOS,KXMLBGAME-26APR081335MILBOS-BOS,0.59,0.6203,0.0505,0.0303,370,218.61,0.0303,True,11.21
824779 MIL@BOS,2026-04-08T18:14:29.242Z,3,bot,1B,Single,over_under,O/U 2.5 (dynamic),KXMLBTOTAL-26APR081335MILBOS-3,0.85,0.8622,0.0204,0.0122,103,88.31,0.0,False,0.0
